"state_postal_abbr","data_year","officer","officer_rate_per_1000","civilian_count","civilian__rate_per_1000","population"
"CA",2010,78996,2.46092453641388566000,39888,1.24261175133522041000,32100131
"CA",2011,77780,2.08623544607364347000,39213,1.05178131327958063000,37282465
"CA",2012,77074,2.35785376020375792000,40195,1.22964854414445921000,32688202
"CA",2013,76912,2.34090913725512516000,40410,1.22992690654877792000,32855611
"CA",2014,77414,1.99507763675020939000,41301,1.06439018104503576000,38802500
"CA",2015,77625,1.98302109873138253000,41005,1.04752051727510906000,39144818
"CA",2016,77850,2.31697331915192884000,41341,1.23039170182478985000,33599869
"CA",2017,78740,2.32464331826094124000,40944,1.20879090707233907000,33871863
"CA",2018,79141,2.01314986920287446000,40900,1.04039410230345289000,39312026
"CA",2019,79616,2.01497141783189470000,41635,1.05372456518075432000,39512223
"CA",2020,79636,2.02322008092423018000,41120,1.04468845406103201000,39361017
"CO",1960,,,,,1014150
"CO",1961,,,,,1449039
"CO",1962,,,,,1579299
"CO",1963,,,,,1674659
"CO",1964,,,,,1525030
"CO",1965,,,,,1585735
"CO",1966,,,,,1468565
"CO",1967,,,,,1785987
"CO",1968,,,,,1839535
"CO",1969,,,,,1609579
"CO",1970,,,,,2003433
"CO",1971,2879,1.56736142679431307000,279,0.15189087810893135000,1836845
"CO",1972,4111,1.75280764737483905000,942,0.40164067230043746000,2345380
"CO",1973,3806,1.69035803079951359000,831,0.36907186641996737000,2251594
"CO",1974,4667,1.89158122734317750000,1008,0.40855236279449816000,2467248
"CO",1975,5312,2.19666431231008696000,1377,0.56942898306682789000,2418212
"CO",1976,4569,1.87691635254642790000,1215,0.49911432881241188000,2434312
"CO",1977,3960,1.92570381799959249000,1036,0.50379524127464086000,2056391
"CO",1978,4153,1.97161126643147856000,1157,0.54927865043612345000,2106399
"CO",1979,5593,2.03426572027664268000,1706,0.62050014639584345000,2749395
"CO",1980,5463,2.04574561304963264000,1659,0.62125058979486373000,2670420
"CO",1981,6110,2.06669925128661330000,1765,0.59700886718835883000,2956405
"CO",1982,6133,2.03177695177138617000,1962,0.64998310441471705000,3018540
"CO",1983,6983,2.22792825962526904000,2190,0.69872016161812104000,3134302
"CO",1984,6995,2.22214456805575852000,2407,0.76464645822876494000,3147860
"CO",1985,7003,2.21546058042979239000,2427,0.76780277434001230000,3160968
"CO",1986,7003,2.25436426959788747000,2473,0.79609350831294812000,3106419
"CO",1987,7189,2.20304614261605677000,2641,0.80932603458742606000,3263209
"CO",1988,7228,2.28672305436345546000,2581,0.81655121794577733000,3160855
"CO",1989,7505,2.26475447556826326000,2732,0.82442494700233114000,3313825
"CO",1990,7537,2.29605211249284483000,2856,0.87004442527259716000,3282591
"CO",1991,7727,2.40950705982138402000,2876,0.89682183305892331000,3206880
"CO",1992,7979,2.39523007297061363000,2916,0.87535917944382872000,3331204
"CO",1993,8298,2.32907617802472559000,2980,0.83642407935812030000,3562786
"CO",1994,7781,2.24607982430869756000,3308,0.95489423709204107000,3464258
"CO",1995,8504,2.40689213449500409000,3857,1.09164898433057746000,3533187
"CO",1996,8999,2.38487524258864043000,3790,1.00440906427502469000,3773363
"CO",1997,8502,2.20103398373689075000,3571,0.92447569465119229000,3862730
"CO",1998,8860,2.40952649540898177000,3953,1.07504043299680643000,3677071
"CO",1999,9568,2.39342468604436791000,4480,1.12066707707763046000,3997619
"CO",2000,9381,2.35816093109776024000,4154,1.04421708855986526000,3978100
"CO",2001,10250,2.35896930762294603000,4922,1.13276555435318442000,4345118
"CO",2002,10704,2.43106530808029420000,4785,1.08675705335988488000,4403008
"CO",2003,10591,2.41061590542173487000,4855,1.10504581444835453000,4393483
"CO",2004,10528,2.36909127977284807000,4918,1.10668606705194404000,4443898
"CO",2005,10720,2.38400121690808385000,4918,1.09370503589122728000,4496642
"CO",2006,11298,2.37724810701782663000,5173,1.08846737985512632000,4752554
"CO",2007,11387,2.36869569052149372000,5369,1.11684615459821725000,4807287
"CO",2008,11608,2.38357876857191435000,5251,1.07823674308848400000,4869988
"CO",2009,11785,2.34846988767399053000,5650,1.12591046799813717000,5018161
"CO",2010,11536,2.29512306244541224000,5535,1.10120545688586657000,5026310
"CO",2011,11255,2.22386177004775326000,5445,1.07587093184451501000,5061016
"CO",2012,11566,2.23497714104955037000,5704,1.10222286119199683000,5174997
"CO",2013,11981,2.28168888017086481000,5460,1.03981481393313762000,5250935
"CO",2014,11794,2.22220254300312378000,5778,1.08867952293302096000,5307347
"CO",2015,11835,2.17409474717767231000,6105,1.12149120671902742000,5443645
"CO",2016,11972,2.16533720532956552000,6253,1.13096003549329880000,5528931
"CO",2017,12411,2.21820043195123712000,6014,1.07487369251105794000,5595076
"CO",2018,12512,2.19679736721420390000,5998,1.05310027242253796000,5695564
"CO",2019,12534,2.17651929173346373000,6367,1.10562456761344851000,5758736
"CO",2020,13011,2.24048761386261029000,6275,1.08055182360985932000,5807218
"CT",1960,,,,,1709296
"CT",1961,,,,,1883274
"CT",1962,,,,,1969577
"CT",1963,,,,,1986200
"CT",1964,,,,,1961835
"CT",1965,,,,,2203925
"CT",1966,,,,,2065030
"CT",1967,,,,,2221326
"CT",1968,,,,,2225574
"CT",1969,,,,,2235615
"CT",1970,,,,,2237798
"CT",1971,4272,1.90493007675905042000,321,0.14313730211602415000,2242602
"CT",1972,5806,2.29571642880471701000,747,0.29536689154618044000,2529058
"CT",1973,5154,2.02036990722919242000,509,0.19952818835460981000,2551018
"CT",1974,4916,2.04289752350620391000,553,0.22980519334803311000,2406386
"CT",1975,5204,2.06280782075294071000,639,0.25329250527692719000,2522775
"CT",1976,5144,1.97464818901651848000,623,0.23915354233228830000,2605021
"CT",1977,4931,1.95137047071123912000,689,0.27266158067735627000,2526942
"CT",1978,5172,1.97712014789409181000,738,0.28211807214730080000,2615926
"CT",1979,5230,2.00891682508172988000,733,0.28155564680399771000,2603393
"CT",1980,5223,2.03178342581325798000,739,0.28747615387248663000,2570648
"CT",1981,5399,1.99012347317277434000,802,0.29562493526293110000,2712897
"CT",1982,5496,2.01485552686675668000,800,0.29328319168366182000,2727739
"CT",1983,6585,2.40221156680373439000,1302,0.47497030523590921000,2741224
"CT",1984,6752,2.46024779563327879000,1349,0.49153943665718203000,2744439
"CT",1985,6732,2.45612754934510562000,1359,0.49582254004159218000,2740900
"CT",1986,6780,2.45531543198341684000,1493,0.54067639232319194000,2761356
"CT",1987,7168,2.57736221647397576000,1515,0.54474103766156156000,2781138
"CT",1988,7210,2.57818866691197005000,1600,0.57213618128420972000,2796537
"CT",1989,7202,2.58448469458977137000,1606,0.57632357949335918000,2786629
"CT",1990,7398,2.62269556949505134000,1660,0.58849346382289608000,2820762
"CT",1991,7060,2.52546299856878506000,1561,0.55839203126995375000,2795527
"CT",1992,7151,2.53989745221753542000,1659,0.58924484313087558000,2815468
"CT",1993,7165,2.57218450801810760000,1697,0.60921104118726149000,2785570
"CT",1994,7207,2.59196308026058454000,1764,0.63441416311636896000,2780518
"CT",1995,7401,2.66894482016988063000,1713,0.61774118050952648000,2773006
"CT",1996,7457,2.68995532372712302000,1750,0.63127555538721541000,2772165
"CT",1997,6575,2.37469038732554603000,1263,0.45615725615089957000,2768782
"CT",1998,7699,2.73720811172103871000,1819,0.64670496885576950000,2812720
"CT",1999,7283,2.32890256662138689000,1766,0.56471810142158029000,3127224
"CT",2000,7761,2.27891700789736798000,1976,0.58022677588006689000,3405565
"CT",2001,7944,2.31936594654597244000,1881,0.54918521468441266000,3425074
"CT",2002,7788,2.30811702639367977000,1953,0.57880746694232879000,3374179
"CT",2003,7858,2.25586012633735358000,1751,0.50267384591711709000,3483372
"CT",2004,7898,2.25425019494212245000,1803,0.51461295283371066000,3503604
"CT",2005,7830,2.23058048934320942000,1798,0.51220737162695920000,3510297
"CT",2006,7875,2.24691274189263951000,1828,0.52156907837203111000,3504809
"CT",2007,7973,2.27649816164136288000,1900,0.54249924835301511000,3502309
"CT",2008,8632,2.46540380412492446000,2025,0.57836453931336562000,3501252
"CT",2009,8622,2.45062371244196041000,1934,0.54969917186995493000,3518288
"CT",2010,8619,2.41151821005417592000,1857,0.51957179673635047000,3574097
"CT",2011,8355,2.33333677771636846000,1899,0.53034189597646723000,3580709
"CT",2012,8474,2.36021755000282702000,1797,0.50050872520121314000,3590347
"CT",2013,8517,2.36841227113968544000,1832,0.50944361638228293000,3596080
"CT",2014,8634,2.40054917358439471000,1827,0.50796888349996399000,3596677
"CT",2015,7918,2.20502683738776447000,1778,0.49514242446014716000,3590886
"CT",2016,7922,2.22438677037404347000,1512,0.42454844695853998000,3561431
